Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Housing,missing,27,Case101,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,17,0,281,2012-03-25 11:31:00,691,3,6,11,2,16768,16,19
Housing,missing,27,Case101,regular,Packing,ID4820,D,Packing,17,0,60,2012-03-26 01:00:00,60,3,0,1,809,17577,17,16
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,0,0,269,2012-02-27 21:09:00,1269,2,0,21,0,0,1,24
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,0,0,217,2012-02-28 01:23:00,83,2,1,1,254,254,2,23
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,146,2012-02-28 13:26:00,806,2,1,13,723,977,3,22
Spur Gear,missing,24,Case102,deviant,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,50,2012-02-28 15:25:00,925,2,1,15,119,1096,4,22
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,112,2012-02-28 16:12:00,972,2,1,16,47,1143,5,22
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,3,0,104,2012-02-28 17:56:00,1076,2,1,17,104,1247,6,22
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,9,0,241,2012-02-29 01:29:00,89,2,2,1,453,1700,7,18
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID4794,D,Machine 8 - Turning & Milling,7,0,181,2012-02-29 04:31:00,271,2,2,4,182,1882,8,17
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,5,0,213,2012-02-29 11:05:00,665,2,2,11,394,2276,9,19
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,1,0,295,2012-02-29 16:00:00,960,2,2,16,0,2571,10,16
Spur Gear,missing,24,Case102,deviant,Turning & Milling Q.C.,ID4287,D,Quality Check 1,24,0,60,2012-02-29 16:00:00,960,2,2,16,295,2571,11,16
Spur Gear,missing,24,Case102,deviant,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,32,2012-02-29 16:36:00,996,2,2,16,36,2607,12,16
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,80,2012-02-29 17:20:00,1040,2,2,17,44,2651,13,16
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,8,0,29,2012-02-29 17:48:00,1068,2,2,17,28,2679,14,16
Spur Gear,missing,24,Case102,deviant,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,15,0,104,2012-03-01 00:11:00,11,3,3,0,383,3062,15,16
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID4219,B,Machine 8 - Turning & Milling,0,0,68,2012-03-06 10:18:00,618,3,1,10,0,0,1,21
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,152,2012-03-08 06:51:00,411,3,3,6,2673,2673,2,20
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,0,0,394,2012-03-08 16:38:00,998,3,3,16,587,3260,3,19
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,491,2012-03-09 04:35:00,275,3,4,4,717,3977,4,19
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,14,0,172,2012-03-09 07:27:00,447,3,4,7,172,4149,5,19
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,8,0,175,2012-03-09 10:27:00,627,3,4,10,180,4329,6,19
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0,0,186,2012-03-09 10:38:00,638,3,4,10,11,4340,7,19
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0,0,34,2012-03-11 08:16:00,496,3,6,8,2738,7078,8,17
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,0,0,94,2012-03-11 10:37:00,637,3,6,10,141,7219,9,16
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,71,2012-03-11 11:48:00,708,3,6,11,71,7290,10,16
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,25,0,260,2012-03-11 16:09:00,969,3,6,16,261,7551,11,16
Adjusting Nut,missing,52,Case103,deviant,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,5,0,120,2012-03-11 18:35:00,1115,3,6,18,146,7697,12,15
Cable Head,missing,33,Case104,regular,Turning & Milling - Machine 5,ID4529,S,Machine 5 - Turning & Milling,1,0,343,2012-03-20 02:26:00,146,3,1,2,0,0,1,20
Cable Head,missing,33,Case104,regular,Turning & Milling - Machine 5,ID4529,D,Machine 5 - Turning & Milling,19,0,254,2012-03-20 06:41:00,401,3,1,6,255,255,2,20
Cable Head,missing,33,Case104,regular,Turning & Milling - Machine 5,ID4429,D,Machine 5 - Turning & Milling,13,0,247,2012-03-20 11:07:00,667,3,1,11,266,521,3,18
Cable Head,missing,33,Case104,regular,Turning & Milling Q.C.,ID4493,D,Quality Check 1,0,0,120,2012-03-20 11:54:00,714,3,1,11,47,568,4,18
Cable Head,missing,33,Case104,regular,Turning & Milling Q.C.,ID4493,D,Quality Check 1,33,0,46,2012-03-21 07:41:00,461,3,2,7,1187,1755,5,20
Cable Head,missing,33,Case104,regular,Laser Marking - Machine 7,ID4718,D,Machine 7- Laser Marking,33,0,28,2012-03-21 09:49:00,589,3,2,9,128,1883,6,19
Bearing,missing,15,Case105,regular,Turning & Milling - Machine 4,ID4167,S,Machine 4 - Turning & Milling,0,0,436,2012-03-21 06:34:00,394,3,2,6,0,0,1,21
Bearing,missing,15,Case105,regular,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,15,0,193,2012-03-21 10:31:00,631,3,2,10,237,237,2,18
Ballnut,missing,39,Case106,regular,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,330,2012-03-15 15:44:00,944,3,3,15,0,0,1,22
Ballnut,missing,39,Case106,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,39,0,223,2012-03-15 20:38:00,1238,3,3,20,294,294,2,22
Ballnut,missing,39,Case106,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,39,0,28,2012-03-19 07:28:00,448,3,0,7,4970,5264,3,22
Ballnut,missing,39,Case106,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,39,0,73,2012-03-19 10:51:00,651,3,0,10,203,5467,4,21
Ballnut,missing,39,Case106,regular,Flat Grinding - Machine 11,ID4882,D,Machine 11 - Grinding,39,0,38,2012-03-19 15:20:00,920,3,0,15,269,5736,5,20
Ballnut,missing,39,Case106,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,150,2012-03-21 17:57:00,1077,3,2,17,3037,8773,6,19
Ballnut,missing,39,Case106,regular,Packing,ID4820,D,Packing,39,0,60,2012-03-22 01:00:00,60,3,3,1,423,9196,7,17
Ballnut,missing,39,Case106,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,39,0,75,2012-03-22 13:05:00,785,3,3,13,725,9921,8,15
Cable Head,missing,20,Case107,regular,Turning & Milling - Machine 10,ID4132,S,Machine 10 - Grinding,1,0,311,2012-03-30 11:47:00,707,3,4,11,0,0,1,3
other,missing,15,Case108,deviant,Turning & Milling - Machine 4,ID4794,S,Machine 4 - Turning & Milling,1,0,337,2012-02-27 06:55:00,415,2,0,6,0,0,1,23
other,missing,15,Case108,deviant,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,100,2012-02-27 08:40:00,520,2,0,8,105,105,2,23
other,missing,15,Case108,deviant,Turning & Milling - Machine 4,ID4529,S,Machine 4 - Turning & Milling,1,0,134,2012-02-27 09:13:00,553,2,0,9,33,138,3,23
other,missing,15,Case108,deviant,Turning & Milling - Machine 4,ID4529,D,Machine 4 - Turning & Milling,13,0,205,2012-02-27 12:38:00,758,2,0,12,205,343,4,21
Electrical Contact,missing,50,Case109,deviant,Turning & Milling - Machine 4,ID4932,S,Machine 4 - Turning & Milling,0,0,407,2012-03-04 18:01:00,1081,3,6,18,0,0,1,19
Electrical Contact,missing,50,Case109,deviant,Turning & Milling - Machine 4,ID4167,S,Machine 4 - Turning & Milling,2,0,361,2012-03-04 23:53:00,1433,3,6,23,352,352,2,19
Electrical Contact,missing,50,Case109,deviant,Turning & Milling - Machine 4,ID4529,S,Machine 4 - Turning & Milling,1,0,65,2012-03-05 01:08:00,68,3,0,1,75,427,3,19
Electrical Contact,missing,50,Case109,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,49,0,75,2012-03-05 01:15:00,75,3,0,1,7,434,4,18
Electrical Contact,missing,50,Case109,deviant,Turning & Milling - Machine 4,ID4529,D,Machine 4 - Turning & Milling,31,0,334,2012-03-05 06:43:00,403,3,0,6,328,762,5,18
Electrical Contact,missing,50,Case109,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0,0,81,2012-03-05 08:21:00,501,3,0,8,98,860,6,18
Electrical Contact,missing,50,Case109,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,16,0,172,2012-03-05 09:41:00,581,3,0,9,80,940,7,17
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4132,S,Machine 10 - Grinding,0,0,336,2012-01-15 23:40:00,1420,1,6,23,0,0,1,29
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,D,Machine 10 - Grinding,1,0,170,2012-01-16 09:49:00,589,1,0,9,609,609,2,30
Spur Gear,missing,100,Case11,deviant,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,54,2012-01-16 09:54:00,594,1,0,9,5,614,3,30
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,D,Machine 10 - Grinding,17,0,392,2012-01-16 16:22:00,982,1,0,16,388,1002,4,31
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4132,D,Machine 10 - Grinding,18,0,330,2012-01-16 23:38:00,1418,1,0,23,436,1438,5,31
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4932,D,Machine 10 - Grinding,19,0,418,2012-01-17 06:37:00,397,1,1,6,419,1857,6,32
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,D,Machine 10 - Grinding,7,0,75,2012-01-17 12:01:00,721,1,1,12,324,2181,7,32
Spur Gear,missing,100,Case11,deviant,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,98,2012-01-18 08:38:00,518,1,2,8,1237,3418,8,36
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,D,Machine 10 - Grinding,0,0,75,2012-01-18 09:50:00,590,1,2,9,72,3490,9,36
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,S,Machine 10 - Grinding,0,0,80,2012-01-18 09:56:00,596,1,2,9,6,3496,10,36
Spur Gear,missing,100,Case11,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,60,0,75,2012-01-18 11:29:00,689,1,2,11,93,3589,11,36
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,D,Machine 10 - Grinding,14,0,335,2012-01-18 15:32:00,932,1,2,15,243,3832,12,36
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 9,ID4641,S,Machine 9 - Turning & Milling,1,0,81,2012-01-19 09:00:00,540,1,3,9,1048,4880,13,36
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4641,D,Machine 10 - Grinding,14,0,419,2012-01-19 16:00:00,960,1,3,16,420,5300,14,35
Spur Gear,missing,100,Case11,deviant,Turning & Milling - Machine 10,ID4132,D,Machine 10 - Grinding,9,0,193,2012-01-19 19:21:00,1161,1,3,19,201,5501,15,35
Spur Gear,missing,100,Case11,deviant,Laser Marking - Machine 7,ID4882,D,Machine 7- Laser Marking,20,0,32,2012-01-22 15:33:00,933,1,6,15,4092,9593,16,34
Spur Gear,missing,100,Case11,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,37,0,1,2012-01-23 09:25:00,565,1,0,9,1072,10665,17,33
Spur Gear,missing,100,Case11,deviant,Laser Marking - Machine 7,ID4882,D,Machine 7- Laser Marking,77,0,85,2012-01-24 16:06:00,966,1,1,16,1841,12506,18,34
Spur Gear,missing,100,Case11,deviant,Packing,ID4820,D,Packing,97,0,60,2012-01-25 01:00:00,60,1,2,1,534,13040,19,34
Spur Gear,missing,100,Case11,deviant,Final Inspection Q.C.,ID4618,D,Quality Check 1,97,0,178,2012-01-25 14:09:00,849,1,2,14,789,13829,20,32
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4794,S,Machine 6 - Turning & Milling,1,0,166,2012-03-01 06:35:00,395,3,3,6,0,0,1,17
Ballnut,missing,500,Case110,deviant,Turning & Milling Q.C.,ID4163,D,Quality Check 1,0,0,60,2012-03-01 11:00:00,660,3,3,11,265,265,2,17
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4529,S,Machine 6 - Turning & Milling,3,0,339,2012-03-01 12:36:00,756,3,3,12,96,361,3,17
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4529,D,Machine 6 - Turning & Milling,10,0,189,2012-03-01 15:46:00,946,3,3,15,190,551,4,16
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4794,D,Machine 6 - Turning & Milling,30,0,611,2012-03-02 06:27:00,387,3,4,6,881,1432,5,17
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4167,D,Machine 6 - Turning & Milling,14,0,362,2012-03-02 12:47:00,767,3,4,12,380,1812,6,17
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4529,D,Machine 6 - Turning & Milling,36,0,686,2012-03-04 00:26:00,26,3,6,0,2139,3951,7,17
Ballnut,missing,500,Case110,deviant,Turning & Milling - Machine 6,ID4641,D,Machine 6 - Turning & Milling,21,0,430,2012-03-04 06:46:00,406,3,6,6,380,4331,8,17
Ballnut,missing,500,Case110,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0,0,31,2012-03-04 07:51:00,471,3,6,7,65,4396,9,16
Cable Head,missing,300,Case111,deviant,other,ID4932,S,Machine 4 - Turning & Milling,1,0,183,2012-03-13 00:13:00,13,3,1,0,0,0,1,19
Cable Head,missing,300,Case111,deviant,other,ID4932,D,Machine 4 - Turning & Milling,55,0,386,2012-03-13 06:39:00,399,3,1,6,386,386,2,20
Cable Head,missing,300,Case111,deviant,other,ID4167,D,Machine 4 - Turning & Milling,83,0,540,2012-03-13 16:10:00,970,3,1,16,571,957,3,19
Cable Head,missing,300,Case111,deviant,other,ID4429,D,Machine 4 - Turning & Milling,34,0,208,2012-03-13 19:42:00,1182,3,1,19,212,1169,4,19
Cable Head,missing,300,Case111,deviant,other,ID4932,D,Machine 4 - Turning & Milling,100,0,661,2012-03-14 06:45:00,405,3,2,6,663,1832,5,20
Cable Head,missing,300,Case111,deviant,other,ID4167,D,Machine 4 - Turning & Milling,27,0,241,2012-03-14 10:59:00,659,3,2,10,254,2086,6,20
Cable Head,missing,300,Case111,deviant,Turning Q.C.,ID4493,D,Quality Check 1,300,0,75,2012-03-14 15:05:00,905,3,2,15,246,2332,7,20
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4932,S,Machine 4 - Turning & Milling,1,0,396,2012-03-22 17:50:00,1070,3,3,17,11685,14017,8,16
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,46,0,660,2012-03-23 07:00:00,420,3,4,7,790,14807,9,16
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4794,D,Machine 4 - Turning & Milling,20,0,341,2012-03-23 12:41:00,761,3,4,12,0,15148,10,16
Cable Head,missing,300,Case111,deviant,other,ID4794,D,Machine 4 - Turning & Milling,0,0,332,2012-03-23 12:41:00,761,3,4,12,341,15148,11,16
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,65,0,121,2012-03-24 15:52:00,952,3,5,15,1631,16779,12,17
Cable Head,missing,300,Case111,deviant,other,ID4932,D,Machine 4 - Turning & Milling,0,0,562,2012-03-24 15:53:00,953,3,5,15,1,16780,13,17
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4794,D,Machine 4 - Turning & Milling,25,0,473,2012-03-25 06:45:00,405,3,6,6,892,17672,14,19
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,53,0,506,2012-03-25 15:32:00,932,3,6,15,527,18199,15,19
Cable Head,missing,300,Case111,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,63,0,649,2012-03-26 06:43:00,403,3,0,6,911,19110,16,14
